   PHI1    PHI2     PHI       ODF
   15.00   40.00    5.00   0.107051E+00
   20.00   40.00    5.00   0.103314E+00
   25.00   40.00    5.00   0.151243E+01
   30.00   40.00    5.00   0.114728E+01
   35.00   40.00    5.00   0.114576E+01
   40.00   40.00    5.00   0.113894E+01
   45.00   40.00    5.00   0.510850E+00
   50.00   40.00    5.00   0.618302E+00
   55.00   40.00    5.00   0.713387E+00
   60.00   40.00    5.00   0.772031E+00
   65.00   40.00    5.00   0.887215E+00
   70.00   40.00    5.00   0.104677E+01
   75.00   40.00    5.00   0.475771E+01
   80.00   40.00    5.00   0.514115E+01
   85.00   40.00    5.00   0.577458E+01
   90.00   40.00    5.00   0.595730E+01
    0.00   45.00    5.00   0.113999E+00
    5.00   45.00    5.00   0.119194E+00
   10.00   45.00    5.00   0.106128E+00
   15.00   45.00    5.00   0.100370E+00
   20.00   45.00    5.00   0.149147E+01
   25.00   45.00    5.00   0.118529E+01
   30.00   45.00    5.00   0.116856E+01
   35.00   45.00    5.00   0.124442E+01
   40.00   45.00    5.00   0.532348E+00
   45.00   45.00    5.00   0.634206E+00
   50.00   45.00    5.00   0.742951E+00
   55.00   45.00    5.00   0.787727E+00
   60.00   45.00    5.00   0.917893E+00
   65.00   45.00    5.00   0.106010E+01
   70.00   45.00    5.00   0.481647E+01
   75.00   45.00    5.00   0.511163E+01
   80.00   45.00    5.00   0.563614E+01
   85.00   45.00    5.00   0.608741E+01
   90.00   45.00    5.00   0.654902E+01
    0.00   50.00    5.00   0.115817E+00
    5.00   50.00    5.00   0.102823E+00
   10.00   50.00    5.00   0.991419E-01
   15.00   50.00    5.00   0.148687E+01
   20.00   50.00    5.00   0.114564E+01
   25.00   50.00    5.00   0.119321E+01
   30.00   50.00    5.00   0.126620E+01
   35.00   50.00    5.00   0.579468E+00
   40.00   50.00    5.00   0.655736E+00
   45.00   50.00    5.00   0.760271E+00
   50.00   50.00    5.00   0.815487E+00
   55.00   50.00    5.00   0.931315E+00
   60.00   50.00    5.00   0.108879E+01
   65.00   50.00    5.00   0.499941E+01
   70.00   50.00    5.00   0.512909E+01
   75.00   50.00    5.00   0.554095E+01
   80.00   50.00    5.00   0.587782E+01
   85.00   50.00    5.00   0.658773E+01
   90.00   50.00    5.00   0.595730E+01
    0.00   55.00    5.00   0.101417E+00
    5.00   55.00    5.00   0.951383E-01
   10.00   55.00    5.00   0.183659E+01
   15.00   55.00    5.00   0.106954E+01
   20.00   55.00    5.00   0.109538E+01
   25.00   55.00    5.00   0.124528E+01
   30.00   55.00    5.00   0.586746E+00
   35.00   55.00    5.00   0.694963E+00
   40.00   55.00    5.00   0.772372E+00
   45.00   55.00    5.00   0.818524E+00
   50.00   55.00    5.00   0.940845E+00
   55.00   55.00    5.00   0.107382E+01
   60.00   55.00    5.00   0.493639E+01
   65.00   55.00    5.00   0.530681E+01
   70.00   55.00    5.00   0.554939E+01
   75.00   55.00    5.00   0.578625E+01
   80.00   55.00    5.00   0.631399E+01
   85.00   55.00    5.00   0.597413E+01
   90.00   55.00    5.00   0.559374E+01
    0.00   60.00    5.00   0.921007E-01
    5.00   60.00    5.00   0.175858E+01
   10.00   60.00    5.00   0.100675E+01
   15.00   60.00    5.00   0.987649E+00
   20.00   60.00    5.00   0.112349E+01
   25.00   60.00    5.00   0.124883E+01
   30.00   60.00    5.00   0.701639E+00
   35.00   60.00    5.00   0.836152E+00
   40.00   60.00    5.00   0.841686E+00
   45.00   60.00    5.00   0.952700E+00
   50.00   60.00    5.00   0.110041E+01
   55.00   60.00    5.00   0.510634E+01
   60.00   60.00    5.00   0.526609E+01
   65.00   60.00    5.00   0.574565E+01
   70.00   60.00    5.00   0.580311E+01
   75.00   60.00    5.00   0.613660E+01
   80.00   60.00    5.00   0.569792E+01
   85.00   60.00    5.00   0.558804E+01
   90.00   60.00    5.00   0.508977E+01
    0.00   65.00    5.00   0.169580E+01
    5.00   65.00    5.00   0.983969E+00
   10.00   65.00    5.00   0.971992E+00
   15.00   65.00    5.00   0.108926E+01
   20.00   65.00    5.00   0.120525E+01
   25.00   65.00    5.00   0.715751E+00
   30.00   65.00    5.00   0.849681E+00
   35.00   65.00    5.00   0.915133E+00
   40.00   65.00    5.00   0.977804E+00
   45.00   65.00    5.00   0.111630E+01
   50.00   65.00    5.00   0.504196E+01
   55.00   65.00    5.00   0.547250E+01
   60.00   65.00    5.00   0.573497E+01
   65.00   65.00    5.00   0.599771E+01
   70.00   65.00    5.00   0.605504E+01
   75.00   65.00    5.00   0.557948E+01
   80.00   65.00    5.00   0.534090E+01
   85.00   65.00    5.00   0.510265E+01
   90.00   65.00    5.00   0.470224E+01
    0.00   70.00    5.00   0.137694E+01
    5.00   70.00    5.00   0.955052E+00
   10.00   70.00    5.00   0.109867E+01
   15.00   70.00    5.00   0.119560E+01
   20.00   70.00    5.00   0.123159E+01
   25.00   70.00    5.00   0.906784E+00
   30.00   70.00    5.00   0.975004E+00
   35.00   70.00    5.00   0.110608E+01
   40.00   70.00    5.00   0.119233E+01
   45.00   70.00    5.00   0.781754E-01
   50.00   70.00    5.00   0.933129E-01
   55.00   70.00    5.00   0.604154E+01
   60.00   70.00    5.00   0.612538E+01
   65.00   70.00    5.00   0.633224E+01
   70.00   70.00    5.00   0.576074E+01
   75.00   70.00    5.00   0.533353E+01
   80.00   70.00    5.00   0.499561E+01
   85.00   70.00    5.00   0.183491E+01
   90.00   70.00    5.00   0.796308E+00
    0.00   75.00    5.00   0.941764E+00
    5.00   75.00    5.00   0.107994E+01
   10.00   75.00    5.00   0.120178E+01
   15.00   75.00    5.00   0.120911E+01
   20.00   75.00    5.00   0.888384E+00
   25.00   75.00    5.00   0.101842E+01
   30.00   75.00    5.00   0.113929E+01
   35.00   75.00    5.00   0.131426E+01
   40.00   75.00    5.00   0.817827E-01
   45.00   75.00    5.00   0.966998E-01
   50.00   75.00    5.00   0.619302E+01
   55.00   75.00    5.00   0.665739E+01
   60.00   75.00    5.00   0.649929E+01
   65.00   75.00    5.00   0.621968E+01
   70.00   75.00    5.00   0.551035E+01
   75.00   75.00    5.00   0.510393E+01
